"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-07","77","50","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-08","73","39","70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-09","84","42","84"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-10","98","52","96"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-11","96","62","85"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-12","85","52","85"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-13","87","65","87"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-14","88","67","88"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-15","88","50","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-16","79","54","79"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-17","85","49","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-18","80","62","78"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-19","78","49","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-20","75","56","69"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-21","71","54","71"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-22","77","41","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-23","83","51","82"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-24","81","63","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-25","80","52","70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-26","79","38","79"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-27","87","56","69"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-28","79","54","78"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-29","82","44","81"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-30","81","63","78"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-31","83","42","83"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-01","82","45","68"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-02","74","47","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-03","80","42","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-04","80","58","66"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-05","73","54","73"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-06","80","42","66"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-07","71","61","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-08","75","58","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-09","74","44","60"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-10","75","55","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-11","76","52","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-12","76","54","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-13","73","57","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-14","74","48","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-15","76","43","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-16","76","49","50"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-17","63","50","58"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-18","83","47","83"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-19","84","61","81"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-20","81","62","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-21","74","58","71"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-22","78","43","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-23","79","58","79"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-24","89","60","88"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-25","88","60","65"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-26","65","44","56"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-27","72","44","71"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-28","72","44","70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-29","77","60","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-30","76","45","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-08-31","64","36","62"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-01","69",,"60"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-02","70",,"70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-03","82","54","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-04","76","50","67"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-05","76","37","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-06","82","45","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-07","85","54","85"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-08","87","63","72"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-09","72","40","63"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-10","75","35","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-11","74","43","55"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-12","65","51","55"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-13","55","51","50"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-14","58","47","57"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-15","66","46","64"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-16","64","37","49"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-17","50","30","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-18","49","40","49"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-09-19","54","39","54"
